None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,XOM,MRY,2018-12-31,2018-12-31,2018-12-31,2019-08-07,-19564000000,346196000000,349610000000,47973000000,298223000000,0.83,45.301,-19574000000,3042000000,3042000000,188835000000,21421000000,0.84,0.77,37796000000,17258000000,20538000000,37796000000,0,18745000000,0,0.047,3.23,31138000000,49883000000,0.172,49883000000,31138000000,30372000000,4.88,4.88,4.88,191794000000,189394000000,191794000000,323071310922,10,6.477,16440000000,3.883,1.0,101377000000,0.349,0,766000000,323812000000,324166250000,18958000000,40790000000,0,40790000000,147668000000,57138000000,90530000000,288703310922,-135000000,2142000000,-626000000,-4925000000,-13798000000,-19446000000,-16446000000,0,36014000000,-257000000,20840000000,20840000000,20840000000,0,581000000,0.072,69658000000,31719000000,37268000000,0.662,1.505,13.853,13.973,247101000000,0,68.19,0.995,0.995,24701000000,421653000000,290212000000,290212000000,1466000000,0.06,0.11,0.096,0.107,0,11480000000,1.0,4233807170,4233807170,,68.546,346196000000,0,9532000000,29856000000,81.769,-9165000000
1,XOM,MRY,2017-12-31,2017-12-31,2017-12-31,2019-08-07,-16262000000,348691000000,346334750000,47134000000,301557000000,0.706,44.296,-15402000000,3177000000,3177000000,158321000000,19848000000,0.816,0.822,42336000000,17930000000,24406000000,42336000000,0,19893000000,0,0.037,3.06,19137000000,39030000000,0.16,39030000000,19137000000,18536000000,4.63,4.63,4.63,187688000000,181573250000,187688000000,390735552280,20,10.011,14664000000,3.461,1.0,86042000000,0.352,0,601000000,330079000000,330393500000,16992000000,39160000000,0,39160000000,154191000000,57771000000,96420000000,354391552280,-480000000,-2404000000,-747000000,-1048000000,-13001000000,-15130000000,-15730000000,0,30066000000,314000000,19710000000,19710000000,19710000000,0,138000000,0.081,66767000000,19275000000,36796000000,0.661,1.888,17.98,18.065,252630000000,0,83.64,1.45,1.45,25597000000,414540000000,244363000000,244363000000,1790000000,0.057,0.109,0.058,0.078,0,10649000000,1.0,4237106077,4237106077,,57.672,348691000000,0,-1174000000,29938000000,82.295,-10637000000
2,XOM,MRY,2016-12-31,2016-12-31,2016-12-31,2019-08-07,-22239000000,330314000000,338740500000,41416000000,288898000000,0.614,40.351,-16163000000,3657000000,3657000000,133191000000,8375000000,0.869,0.935,42762000000,13830000000,28932000000,42762000000,0,22308000000,0,0.033,2.98,7887000000,30195000000,0.145,30195000000,7887000000,7434000000,1.88,1.88,1.88,167325000000,170175000000,167325000000,415342539605,53,13.755,5919000000,1.427,1.0,74923000000,0.36,0,453000000,321781000000,328903750000,15080000000,35102000000,0,35102000000,156484000000,47638000000,108846000000,374280539605,-48000000,2858000000,-971000000,4293000000,-12453000000,-9293000000,-12403000000,0,22082000000,-434000000,7840000000,7840000000,7840000000,0,535000000,0.038,66501000000,8422000000,31193000000,1.585,2.237,47.74,48.011,244224000000,0,90.26,1.798,1.798,21394000000,407831000000,208114000000,208114000000,1467000000,0.023,0.046,0.024,0.038,0,10443000000,1.0,4146693326,4146693326,,50.188,330314000000,0,-406000000,36656000000,79.657,-6222000000
3,XOM,MRY,2015-12-31,2015-12-31,2015-12-31,2019-08-07,-23511000000,336758000000,342160250000,42623000000,294135000000,0.728,41.031,-26490000000,3705000000,3705000000,160312000000,16551000000,0.79,0.936,38687000000,18762000000,19925000000,38687000000,0,18048000000,0,0.037,2.88,21876000000,39924000000,0.16,39924000000,21876000000,21565000000,3.85,3.85,3.85,170811000000,171357250000,170811000000,354517057010,16,8.88,3854000000,0.926,1.0,88936000000,0.357,0,311000000,317764000000,316884000000,16245000000,34245000000,0,34245000000,159948000000,53976000000,105972000000,324501057010,-911000000,1782000000,-4034000000,9255000000,-12090000000,-7037000000,-23824000000,42000000,30344000000,-394000000,16150000000,16150000000,16150000000,0,401000000,0.065,66659000000,22277000000,32412000000,0.748,1.9,20.093,20.247,251605000000,0,77.95,1.302,1.302,19875000000,412444000000,249248000000,249248000000,1523000000,0.047,0.094,0.069,0.088,0,11501000000,1.0,4162938512,4162938512,,59.873,336758000000,0,5415000000,39620000000,80.894,-11353000000
4,XOM,MRY,2014-12-31,2014-12-31,2014-12-31,2019-08-07,-18957000000,349493000000,353469000000,52910000000,296583000000,1.165,41.185,-32952000000,4658000000,4658000000,287600000000,33615000000,0.819,0.966,29121000000,17468000000,11653000000,29121000000,0,17297000000,0,0.029,2.7,50821000000,68118000000,0.165,68118000000,50821000000,50535000000,7.6,7.6,7.6,174399000000,178134750000,174399000000,408302173045,8,5.994,12164000000,2.873,1.0,124339000000,0.302,0,286000000,309323000000,303987750000,16678000000,35239000000,0,35239000000,168429000000,64633000000,103796000000,391482173045,-28000000,2404000000,-13153000000,6966000000,-11568000000,-17888000000,-26975000000,227000000,45116000000,-281000000,32520000000,32520000000,32520000000,0,1095000000,0.079,72423000000,51916000000,42227000000,0.355,2.245,12.038,12.164,252668000000,0,92.45,0.95,0.95,28009000000,408384000000,411939000000,411939000000,1669000000,0.092,0.183,0.167,0.123,0,12598000000,1.0,4234528643,4234528643,,97.281,349493000000,0,18015000000,44168000000,82.534,-11723000000
5,XOM,MRY,2013-12-31,2013-12-31,2013-12-31,2019-08-07,-10725000000,346808000000,343906500000,59308000000,287500000000,1.274,39.831,-33669000000,4913000000,4913000000,307975000000,33448000000,0.827,0.956,22699000000,15808000000,6891000000,22699000000,0,17182000000,0,0.024,2.46,56852000000,74034000000,0.169,74034000000,56852000000,56843000000,7.37,7.37,7.37,174003000000,168974000000,174003000000,457637595244,8,6.181,11245000000,2.574,1.0,130280000000,0.297,0,9000000,292870000000,285719500000,16135000000,36328000000,0,36328000000,166313000000,71724000000,94589000000,442093595244,-4938000000,-1728000000,-15948000000,11604000000,-10875000000,-15476000000,-34201000000,72000000,44914000000,-175000000,32580000000,32580000000,32580000000,0,868000000,0.074,72560000000,57720000000,48085000000,0.334,2.541,13.569,13.731,243650000000,0,101.2,1.009,1.009,33152000000,387432000000,438255000000,438255000000,1976000000,0.095,0.193,0.199,0.13,0,12877000000,1.0,4368513787,4368513787,,100.321,346808000000,0,24263000000,48361000000,79.388,-12416000000
6,XOM,MRY,2012-12-31,2012-12-31,2012-12-31,2019-08-07,-12184000000,333795000000,335945750000,64460000000,269335000000,1.431,36.379,-34271000000,9923000000,9923000000,331502000000,47681000000,1.005,0.978,11581000000,3653000000,7928000000,11581000000,0,15888000000,0,0.025,2.18,76252000000,92140000000,0.192,92140000000,76252000000,75925000000,9.7,9.7,9.7,165863000000,163099750000,165863000000,393774105405,5,4.274,21899000000,4.803,1.0,149179000000,0.31,0,327000000,271314000000,263585250000,14542000000,34718000000,0,34718000000,162135000000,64139000000,97996000000,394611105405,-3082000000,7057000000,-20875000000,-2908000000,-10092000000,-33868000000,-25601000000,63000000,56170000000,217000000,44880000000,44880000000,44880000000,0,2801000000,0.093,70126000000,79053000000,50728000000,0.225,2.379,8.793,8.923,226949000000,0,86.55,0.821,0.821,34987000000,365727000000,480681000000,480681000000,1840000000,0.134,0.275,0.289,0.159,0,13877000000,1.0,4559342639,4559342639,,105.428,333795000000,0,31045000000,47328000000,73.211,321000000
7,XOM,MRY,2011-12-31,2011-12-31,2011-12-31,2019-08-07,-9123000000,331052000000,325004000000,72963000000,258089000000,1.497,32.211,-30975000000,13068000000,13068000000,340010000000,42206000000,0.941,1.103,17033000000,7711000000,9322000000,17033000000,0,15583000000,0,0.022,1.85,72358000000,87941000000,0.181,87941000000,72358000000,72111000000,8.43,8.42,8.43,154396000000,154341500000,154396000000,411779285923,6,4.682,24370000000,5.084,1.0,146419000000,0.301,0,247000000,257512000000,254875000000,15024000000,34333000000,0,34333000000,170308000000,77505000000,92803000000,406272285923,4839000000,7547000000,-21131000000,1957000000,-9020000000,-28256000000,-22165000000,144000000,55345000000,-85000000,41060000000,41060000000,41060000000,0,1146000000,0.084,72915000000,73504000000,57067000000,0.219,2.631,9.895,10.055,214664000000,0,84.76,0.835,0.835,38642000000,330939000000,486429000000,486429000000,2081000000,0.126,0.266,0.284,0.149,0,14983000000,1.0,4793207715,4793207715,,101.483,331052000000,0,31051000000,49345000000,69.067,-4542000000
8,VZ,MRY,2018-12-31,2018-12-31,2018-12-31,2019-04-26,2370000000,264829000000,264552500000,34636000000,230193000000,0.495,12.846,-16658000000,2745000000,2745000000,55508000000,16039000000,0.913,3.954,113063000000,7190000000,105873000000,113063000000,0,17403000000,0,0.042,2.372,23945000000,41348000000,0.316,41348000000,23945000000,19112000000,3.76,3.76,3.76,53145000000,52611250000,53145000000,342705888978,14,8.288,17681000000,4.283,1.0,75355000000,0.576,128519000000,4833000000,208698000000,211432750000,1336000000,671000000,0,671000000,210119000000,37930000000,172189000000,232301888978,1028000000,-230000000,0,-3781000000,-9772000000,-15377000000,-17934000000,0,34339000000,0,15528000000,15528000000,15528000000,0,511000000,0.119,53077000000,22278000000,22501000000,0.631,4.371,14.96,14.952,89286000000,0,56.22,1.775,1.773,25102000000,43542000000,130863000000,130863000000,0,0.059,0.295,0.113,0.183,0,31083000000,1.0,4132015101,4128000000,4132000000.0,31.701,136310000000,0,3584000000,33795000000,32.949,-3294000000
9,VZ,MRY,2017-12-31,2017-12-31,2017-12-31,2019-04-26,2659000000,257143000000,252883500000,29913000000,227230000000,0.498,10.545,-17247000000,2079000000,2079000000,53063000000,30550000000,0.905,4.93,117095000000,3453000000,113642000000,117095000000,0,16954000000,0,0.044,2.321,24878000000,41832000000,0.332,41832000000,24878000000,20145000000,7.37,7.36,7.37,43096000000,29656500000,43096000000,328934803449,13,7.863,7071000000,1.731,1.0,72971000000,0.579,127836000000,4733000000,211286000000,210240750000,1034000000,1039000000,0,1039000000,212456000000,33037000000,179419000000,215924803449,-289000000,-2266000000,0,7760000000,-9472000000,-6151000000,-18456000000,0,24318000000,0,30101000000,30101000000,30101000000,0,449000000,0.239,45546000000,27425000000,21232000000,0.315,5.01,7.173,7.182,88568000000,0,52.93,1.713,1.715,23493000000,35635000000,126034000000,126034000000,0,0.119,1.015,0.118,0.197,0,28592000000,1.0,4079440836,4084000000,4089000000.0,30.86,129307000000,0,-9956000000,31232000000,31.639,-3124000000
10,VZ,MRY,2016-12-31,2016-12-31,2016-12-31,2019-04-26,2673000000,244180000000,240033750000,26395000000,217785000000,0.525,5.521,-17059000000,2880000000,2880000000,52701000000,13608000000,0.87,9.774,108078000000,2645000000,105433000000,108078000000,0,15928000000,0,0.043,2.272,24881000000,40809000000,0.324,40809000000,24881000000,20505000000,3.22,3.21,3.22,22524000000,20217250000,22524000000,317760720358,13,7.787,4630000000,1.135,1.0,73279000000,0.582,122775000000,4376000000,196263000000,188494000000,1202000000,1110000000,0,1110000000,220148000000,30340000000,189808000000,217610720358,-1561000000,6117000000,0,-1209000000,-9262000000,-13376000000,-9874000000,0,21689000000,0,13127000000,13127000000,13127000000,0,481000000,0.104,44030000000,29249000000,19593000000,0.706,9.661,16.577,16.578,84751000000,0,53.38,1.727,1.729,17513000000,15059000000,125980000000,125980000000,0,0.055,0.649,0.132,0.197,0,28102000000,1.0,4076633952,4080000000,4086000000.0,30.877,121405000000,0,7378000000,45964000000,29.756,-3945000000
11,VZ,MRY,2015-12-31,2015-12-31,2015-12-31,2019-04-26,550000000,244175000000,240697750000,22355000000,221820000000,0.547,4.033,-17775000000,4470000000,4470000000,52557000000,18375000000,0.638,13.777,109729000000,6489000000,103240000000,109729000000,0,16017000000,0,0.06,2.765,32664000000,48681000000,0.37,48681000000,32664000000,27744000000,4.38,4.37,4.38,16428000000,12580000000,16428000000,296512316392,9,6.091,21252000000,5.202,1.0,79063000000,0.601,119498000000,4920000000,194884000000,200869750000,1252000000,1146000000,350000000,796000000,226333000000,35052000000,191281000000,188063316392,-6128000000,-3497000000,-5134000000,-3017000000,-8538000000,-15112000000,-30043000000,0,39027000000,0,17879000000,17879000000,17879000000,0,496000000,0.136,46003000000,33060000000,19362000000,0.631,11.448,10.519,10.553,83541000000,0,46.22,1.429,1.434,13457000000,11246000000,131620000000,131620000000,0,0.074,1.421,0.163,0.248,0,29986000000,1.0,4068873137,4085000000,4093000000.0,32.22,124677000000,0,9865000000,45484000000,30.611,-12697000000
12,VZ,MRY,2014-12-31,2014-12-31,2014-12-31,2019-04-26,1111000000,232616000000,226224500000,29499000000,203117000000,0.562,2.956,-17191000000,10598000000,10598000000,49931000000,11956000000,1.054,17.803,113271000000,2735000000,110536000000,113271000000,0,16533000000,0,0.046,2.14,17854000000,34387000000,0.271,34387000000,17854000000,12939000000,2.42,2.42,2.42,12298000000,14121750000,12298000000,296136074967,17,8.612,13440000000,3.382,1.0,77148000000,0.607,105708000000,4915000000,201594000000,198411750000,1153000000,1357000000,555000000,802000000,218940000000,27987000000,190953000000,194124074967,-42930000000,-62000000,34000000,12823000000,-7803000000,-57705000000,-15856000000,0,30631000000,0,9625000000,9625000000,9625000000,0,2331000000,0.076,57549000000,19599000000,16680000000,0.884,15.785,20.169,19.331,89947000000,0,46.78,1.528,1.463,13993000000,2447000000,127079000000,127079000000,0,0.043,0.682,0.09,0.14,0,41016000000,1.0,4149723706,3974000000,3981000000.0,31.978,126908000000,0,3314000000,41563000000,30.507,1512000000
13,VZ,MRY,2013-12-31,2013-12-31,2013-12-31,2019-04-26,2358000000,274098000000,250076250000,70994000000,203104000000,0.482,13.551,-16604000000,53528000000,53528000000,44887000000,23547000000,2.625,4.601,93591000000,3933000000,89658000000,93591000000,0,16606000000,0,0.042,2.075,19894000000,36500000000,0.303,36500000000,19894000000,17227000000,4.01,4.0,4.01,38836000000,35298000000,38836000000,183056432445,9,5.015,22214000000,7.751,1.0,75663000000,0.628,106181000000,2667000000,180930000000,158962750000,1020000000,4033000000,601000000,3432000000,178682000000,27050000000,151632000000,140626432445,50435000000,-494000000,-68000000,40861000000,-5936000000,26450000000,-14833000000,0,38818000000,0,11497000000,11497000000,11497000000,0,12050000000,0.095,43695000000,31968000000,16453000000,0.517,3.621,12.232,12.254,88956000000,0,49.14,1.167,1.168,12439000000,1782000000,120550000000,120550000000,0,0.046,0.326,0.125,0.165,0,27089000000,1.0,2861750762,2866000000,2874000000.0,42.062,167917000000,0,5730000000,28639000000,58.589,43944000000
14,VZ,MRY,2012-12-31,2012-12-31,2012-12-31,2019-04-26,2235000000,225222000000,226324250000,21235000000,203987000000,0.512,11.585,-16175000000,3093000000,3093000000,46275000000,10557000000,0.788,4.213,51987000000,4369000000,47618000000,51987000000,0,16460000000,0,0.047,2.015,2786000000,19246000000,0.166,19246000000,2786000000,215000000,0.31,0.31,0.31,33157000000,36155750000,33157000000,166577107280,60,8.655,15311000000,5.367,1.0,69571000000,0.601,107816000000,2571000000,139344000000,140017500000,1075000000,3871000000,470000000,3401000000,139689000000,26956000000,112733000000,123489107280,-10269000000,-913000000,315000000,-3351000000,-5230000000,-21253000000,-20502000000,0,31486000000,0,875000000,875000000,875000000,0,9682000000,0.008,56411000000,13160000000,16182000000,6.5,3.724,141.13,139.581,88642000000,0,43.27,1.066,1.066,12576000000,-3734000000,115846000000,115846000000,0,0.004,0.024,0.02,0.024,0,39951000000,1.0,2853919743,2853000000,2862000000.0,40.605,117406000000,0,-660000000,24677000000,41.022,-5721000000
15,VZ,MRY,2011-12-31,2011-12-31,2011-12-31,2019-04-26,1269000000,230461000000,227589250000,30939000000,199522000000,0.487,12.683,-16244000000,13362000000,13362000000,45875000000,10198000000,1.006,4.019,55152000000,4849000000,50303000000,55152000000,0,16496000000,0,0.049,1.963,5516000000,22012000000,0.199,22012000000,5516000000,2689000000,0.85,0.85,0.85,35970000000,38339250000,35970000000,158174357119,29,7.186,13536000000,4.778,1.0,65000000000,0.586,102485000000,2827000000,139005000000,139433750000,940000000,4040000000,592000000,3448000000,144553000000,30761000000,113792000000,113583357119,6694000000,-1797000000,241000000,1183000000,-5555000000,-5836000000,-17250000000,35000000,29780000000,0,2404000000,2404000000,2404000000,0,7794000000,0.022,52120000000,12880000000,14689000000,2.309,3.158,47.248,47.2,88434000000,0,40.12,1.024,1.025,11776000000,1179000000,110875000000,110875000000,0,0.011,0.063,0.04,0.05,0,35624000000,1.0,2831090656,2833000000,2839000000.0,39.137,127976000000,0,285000000,25060000000,45.126,178000000
16,UTX,MRY,2018-12-31,2018-12-31,2018-12-31,2019-07-26,-9333000000,134211000000,112374500000,35503000000,98708000000,0.592,48.033,-1902000000,6152000000,6152000000,49985000000,5269000000,1.132,2.432,45537000000,4345000000,41192000000,45537000000,0,2433000000,0,0.027,2.835,8933000000,11366000000,0.171,11366000000,8933000000,7895000000,6.58,6.5,6.58,38446000000,33112500000,38446000000,102227797722,11,8.994,4420000000,5.522,1.0,16516000000,0.248,74536000000,1038000000,67692000000,57342000000,10083000000,0,0,0,93492000000,31368000000,62124000000,85288797723,-2806000000,-14293000000,-289000000,10579000000,-2170000000,7965000000,-16973000000,143000000,6322000000,-120000000,5269000000,5269000000,5269000000,0,0,0.079,9528000000,6988000000,11080000000,0.431,2.218,16.187,16.182,12297000000,0,106.48,1.283,1.282,14271000000,57823000000,66501000000,66501000000,2462000000,0.047,0.159,0.156,0.134,251000000,7066000000,1.0,800984201,800400000,810100000.0,83.085,59675000000,1646000000,2626000000,0,74.556,4135000000
17,UTX,MRY,2017-12-31,2017-12-31,2017-12-31,2019-07-26,-7525000000,96920000000,94609500000,32858000000,64062000000,0.632,37.481,-2014000000,8985000000,8985000000,44201000000,4552000000,1.347,2.208,27485000000,2496000000,24989000000,27485000000,0,2140000000,0,0.021,2.72,8304000000,10444000000,0.175,10444000000,8304000000,7395000000,5.76,5.7,5.76,29610000000,28881750000,29610000000,120610564822,15,11.548,3617000000,4.578,1.0,15636000000,0.261,43793000000,909000000,47236000000,44728000000,9881000000,0,0,0,65368000000,24391000000,40977000000,101873564822,1829000000,435000000,-1422000000,3079000000,-2074000000,-993000000,-3019000000,-317000000,5631000000,210000000,4552000000,4552000000,4552000000,0,0,0.076,8856000000,6780000000,9579000000,0.472,3.441,22.38,22.148,10186000000,0,127.57,1.703,1.684,12595000000,55242000000,59837000000,59837000000,2427000000,0.048,0.158,0.186,0.139,192000000,6429000000,1.0,798569921,790000000,799100000.0,75.743,53127000000,1723000000,2843000000,0,67.249,8467000000
18,UTX,MRY,2016-12-31,2016-12-31,2016-12-31,2019-07-26,-8334000000,89706000000,89454750000,28550000000,61156000000,0.64,33.707,-1699000000,7157000000,7157000000,41471000000,5055000000,1.303,2.184,23901000000,2204000000,21697000000,23901000000,0,1962000000,0,0.024,2.62,7791000000,9753000000,0.17,9753000000,7791000000,6752000000,6.18,6.12,6.18,27579000000,28552250000,27579000000,105819731409,14,10.85,2181000000,2.666,1.0,15773000000,0.276,42743000000,1039000000,41801000000,40521750000,8704000000,0,0,0,60241000000,21906000000,38335000000,90261731409,69000000,-499000000,-2241000000,3686000000,-2069000000,-1188000000,-2503000000,249000000,3880000000,-120000000,5055000000,5055000000,5055000000,10000000,0,0.088,8334000000,7439000000,7483000000,0.424,3.273,17.856,17.738,9158000000,0,109.62,1.577,1.567,11481000000,52873000000,57244000000,57244000000,2376000000,0.057,0.177,0.192,0.136,152000000,5958000000,1.0,823405687,818200000,826100000.0,69.963,46963000000,1809000000,1697000000,0,57.398,6644000000
19,UTX,MRY,2015-12-31,2015-12-31,2015-12-31,2019-07-26,-7619000000,87484000000,90929750000,26706000000,60778000000,0.617,31.349,-1652000000,7075000000,7075000000,40431000000,7608000000,1.181,2.139,20425000000,1105000000,19320000000,20425000000,0,1863000000,0,0.027,2.56,10543000000,12406000000,0.221,12406000000,10543000000,9719000000,8.72,8.61,8.72,27358000000,29227500000,27358000000,102406101418,10,8.255,4731000000,5.421,1.0,15667000000,0.279,42904000000,824000000,35312000000,39779750000,8135000000,0,0,0,58518000000,22618000000,35900000000,85216101418,1630000000,-338000000,-8859000000,775000000,-2184000000,-10785000000,6206000000,0,6383000000,-174000000,7608000000,7608000000,7608000000,-3612000000,0,0.136,8165000000,7502000000,6875000000,0.294,3.115,11.201,11.017,8732000000,0,96.07,1.519,1.495,10653000000,49956000000,56098000000,56098000000,2279000000,0.084,0.26,0.265,0.188,158000000,5886000000,1.0,887020937,872700000,883200000.0,64.281,44580000000,1961000000,2111000000,0,51.083,4088000000
20,UTX,MRY,2014-12-31,2014-12-31,2014-12-31,2019-07-26,-6661000000,91206000000,91587750000,31483000000,59723000000,0.632,34.747,-1594000000,5229000000,5229000000,40898000000,6220000000,1.341,1.874,19701000000,1917000000,17784000000,19701000000,0,1820000000,0,0.021,2.36,9345000000,11165000000,0.193,11165000000,9345000000,8464000000,6.92,6.82,6.92,31213000000,32841000000,31213000000,119803707375,13,10.73,5727000000,6.375,1.0,17002000000,0.294,42976000000,881000000,39227000000,39288000000,7642000000,0,0,0,58502000000,23475000000,35027000000,104840707375,824000000,-58000000,-1313000000,-552000000,-2048000000,-4261000000,-2080000000,93000000,7321000000,-156000000,6220000000,6220000000,6220000000,-154000000,0,0.107,8647000000,8355000000,6250000000,0.341,3.359,16.855,16.618,8592000000,0,115.0,1.811,1.784,10448000000,44611000000,57900000000,57900000000,2475000000,0.068,0.189,0.238,0.161,219000000,6172000000,1.0,911658325,898300000,911600000.0,64.455,48230000000,3414000000,2244000000,0,53.69,8008000000
21,UTX,MRY,2013-12-31,2013-12-31,2013-12-31,2019-07-26,-2880000000,90594000000,89544250000,29442000000,61152000000,0.632,35.367,-1569000000,4619000000,4619000000,40468000000,5721000000,1.291,1.797,20241000000,500000000,19741000000,20241000000,0,1735000000,0,0.019,2.195,8615000000,10350000000,0.183,10350000000,8615000000,7720000000,6.35,6.25,6.35,31866000000,28406000000,31866000000,120987827617,14,11.69,5308000000,5.891,1.0,16132000000,0.285,43689000000,895000000,39727000000,40016750000,10330000000,0,0,0,57264000000,22800000000,34464000000,104420827617,-217000000,1409000000,-822000000,-2888000000,-1908000000,-5940000000,-1113000000,-323000000,6877000000,-41000000,5721000000,5721000000,5721000000,-456000000,0,0.101,8706000000,7426000000,6965000000,0.346,3.277,18.252,17.921,8866000000,0,113.8,1.845,1.812,11458000000,40539000000,56600000000,56600000000,2342000000,0.064,0.201,0.215,0.152,250000000,6364000000,1.0,917581965,901000000,915100000.0,62.819,46905000000,3200000000,1999000000,0,52.059,6642000000
22,UTX,MRY,2012-12-31,2012-12-31,2012-12-31,2019-07-26,-5448000000,89409000000,79433000000,29610000000,59799000000,0.726,28.948,-1389000000,4819000000,4819000000,42153000000,5130000000,1.245,2.396,23221000000,1624000000,21597000000,23221000000,0,1524000000,0,0.025,2.03,7614000000,9138000000,0.158,9138000000,7614000000,6841000000,5.73,5.66,5.73,25914000000,23991250000,25914000000,97623816741,13,10.683,5257000000,5.872,1.0,15555000000,0.27,42990000000,773000000,41035000000,37766000000,9537000000,0,0,0,62102000000,23786000000,38316000000,75165816741,-1124000000,-15601000000,0,9843000000,-1752000000,8021000000,-15821000000,0,6646000000,30000000,5130000000,5130000000,5130000000,-283000000,0,0.089,8823000000,6732000000,6431000000,0.354,2.901,14.652,14.312,8518000000,0,82.01,1.303,1.272,11099000000,36776000000,57708000000,57708000000,2371000000,0.065,0.214,0.202,0.132,210000000,6452000000,1.0,916544528,895200000,906600000.0,64.464,46419000000,3210000000,1711000000,0,51.853,5824000000
23,UTX,MRY,2011-12-31,2011-12-31,2011-12-31,2019-07-26,-5490000000,61452000000,61552750000,25758000000,35694000000,0.906,24.521,-929000000,5960000000,5960000000,40369000000,4979000000,1.384,1.749,10260000000,759000000,9501000000,10260000000,0,1263000000,0,0.026,1.865,7609000000,8872000000,0.159,8872000000,7609000000,7113000000,5.58,5.49,5.58,21880000000,22329750000,21880000000,71623947727,9,8.073,5661000000,6.344,1.0,15385000000,0.276,21861000000,496000000,25275000000,25380250000,7797000000,0,0,0,38274000000,18616000000,19658000000,66225947727,1877000000,137000000,-2175000000,5000000,-1602000000,-4005000000,-707000000,0,6590000000,-1000000,4979000000,4979000000,4979000000,-148000000,0,0.089,8112000000,7273000000,5570000000,0.334,3.027,13.301,13.099,6201000000,0,73.09,1.188,1.17,9546000000,33487000000,55754000000,55754000000,1951000000,0.081,0.223,0.3,0.136,221000000,6161000000,1.0,906087669,892300000,906800000.0,62.483,39591000000,4049000000,2134000000,0,44.37,7142000000
